[2021-10-14 17:56:37.33364] [23198] [debug] Dropped table 'urls'
[2021-10-14 17:56:37.39599] [23198] [debug] Dropped table 'images'
[2021-10-14 17:56:37.45888] [23198] [debug] Dropped table 'notes'
[2021-10-14 17:56:37.51598] [23198] [debug] Dropped table 'feature_locations'
[2021-10-14 17:56:37.57988] [23198] [debug] Dropped table 'features'
[2021-10-14 17:56:37.64075] [23198] [debug] Dropped table 'flower_locations'
[2021-10-14 17:56:37.69981] [23198] [debug] Dropped table 'gardens'
[2021-10-14 17:56:37.76523] [23198] [debug] Dropped table 'properties'
[2021-10-14 17:56:37.82364] [23198] [debug] Dropped table 'attributes'
[2021-10-14 17:56:37.88583] [23198] [debug] Dropped table 'attribute_types'
[2021-10-14 17:56:37.94934] [23198] [debug] Dropped table 'flowers'
[2021-10-14 17:56:38.00675] [23198] [debug] Dropped table 'constants'
[2021-10-14 17:56:38.07047] [23198] [debug] Dropped table 'log'
[2021-10-14 17:56:38.38390] [23199] [debug] Created table 'log'
[2021-10-14 17:56:38.44332] [23199] [debug] Created table 'constants'
[2021-10-14 17:56:38.50857] [23199] [debug] Created table 'flowers'
[2021-10-14 17:56:38.56801] [23199] [debug] Created table 'attribute_types'
[2021-10-14 17:56:38.62967] [23199] [debug] Created table 'attributes'
[2021-10-14 17:56:38.69356] [23199] [debug] Created table 'properties'
[2021-10-14 17:56:38.75146] [23199] [debug] Created table 'gardens'
[2021-10-14 17:56:38.81532] [23199] [debug] Created table 'flower_locations'
[2021-10-14 17:56:38.87624] [23199] [debug] Created table 'features'
[2021-10-14 17:56:38.93563] [23199] [debug] Created table 'feature_locations'
[2021-10-14 17:56:39.00051] [23199] [debug] Created table 'notes'
[2021-10-14 17:56:39.05941] [23199] [debug] Created table 'images'
[2021-10-14 17:56:39.12159] [23199] [debug] Created table 'urls'
[2021-10-14 17:56:39.44431] [23200] [debug] Populating all tables
[2021-10-14 17:56:39.70719] [23200] [info] Read 4 records into 'attribute_types'
[2021-10-14 17:56:41.68692] [23200] [info] Read 32 records into 'constants'
[2021-10-14 17:56:41.71581] [23200] [error] flowers. Row: 6. Column thumbnail undefined
[2021-10-14 17:56:41.71584] [23200] [error] flowers. Row: 7. Column kind undefined
[2021-10-14 17:56:41.71587] [23200] [error] flowers. Row: 7. Column max_height undefined
[2021-10-14 17:56:41.71590] [23200] [error] flowers. Row: 7. Column max_width undefined
[2021-10-14 17:56:41.71593] [23200] [error] flowers. Row: 7. Column min_height undefined
[2021-10-14 17:56:41.71596] [23200] [error] flowers. Row: 7. Column min_width undefined
[2021-10-14 17:56:41.71599] [23200] [error] flowers. Row: 7. Column pig_latin undefined
[2021-10-14 17:56:41.71602] [23200] [error] flowers. Row: 7. Column planted undefined
[2021-10-14 17:56:41.71605] [23200] [error] flowers. Row: 7. Column thumbnail undefined
[2021-10-14 17:56:41.71608] [23200] [error] flowers. Row: 8. Column kind undefined
[2021-10-14 17:56:41.71611] [23200] [error] flowers. Row: 8. Column max_height undefined
[2021-10-14 17:56:41.71615] [23200] [error] flowers. Row: 8. Column max_width undefined
[2021-10-14 17:56:41.71618] [23200] [error] flowers. Row: 8. Column min_height undefined
[2021-10-14 17:56:41.71620] [23200] [error] flowers. Row: 8. Column min_width undefined
[2021-10-14 17:56:41.71623] [23200] [error] flowers. Row: 8. Column pig_latin undefined
[2021-10-14 17:56:41.71626] [23200] [error] flowers. Row: 8. Column planted undefined
[2021-10-14 17:56:41.71630] [23200] [error] flowers. Row: 8. Column thumbnail undefined
[2021-10-14 17:56:41.71634] [23200] [error] flowers. Row: 9. Column kind undefined
[2021-10-14 17:56:41.71637] [23200] [error] flowers. Row: 9. Column max_height undefined
[2021-10-14 17:56:41.71640] [23200] [error] flowers. Row: 9. Column max_width undefined
[2021-10-14 17:56:41.71644] [23200] [error] flowers. Row: 9. Column min_height undefined
[2021-10-14 17:56:41.71648] [23200] [error] flowers. Row: 9. Column min_width undefined
[2021-10-14 17:56:41.71651] [23200] [error] flowers. Row: 9. Column pig_latin undefined
[2021-10-14 17:56:41.71654] [23200] [error] flowers. Row: 9. Column planted undefined
[2021-10-14 17:56:41.71657] [23200] [error] flowers. Row: 9. Column thumbnail undefined
[2021-10-14 17:56:41.71661] [23200] [error] flowers. Row: 10. Column kind undefined
[2021-10-14 17:56:41.71664] [23200] [error] flowers. Row: 10. Column max_height undefined
[2021-10-14 17:56:41.71667] [23200] [error] flowers. Row: 10. Column max_width undefined
[2021-10-14 17:56:41.71670] [23200] [error] flowers. Row: 10. Column min_height undefined
[2021-10-14 17:56:41.71673] [23200] [error] flowers. Row: 10. Column min_width undefined
[2021-10-14 17:56:41.71676] [23200] [error] flowers. Row: 10. Column pig_latin undefined
[2021-10-14 17:56:41.71679] [23200] [error] flowers. Row: 10. Column planted undefined
[2021-10-14 17:56:41.71682] [23200] [error] flowers. Row: 10. Column thumbnail undefined
[2021-10-14 17:56:41.71687] [23200] [error] flowers. Row: 11. Column kind undefined
[2021-10-14 17:56:41.71692] [23200] [error] flowers. Row: 11. Column max_height undefined
[2021-10-14 17:56:41.71695] [23200] [error] flowers. Row: 11. Column max_width undefined
[2021-10-14 17:56:41.71698] [23200] [error] flowers. Row: 11. Column min_height undefined
[2021-10-14 17:56:41.71701] [23200] [error] flowers. Row: 11. Column min_width undefined
[2021-10-14 17:56:41.71704] [23200] [error] flowers. Row: 11. Column pig_latin undefined
[2021-10-14 17:56:41.71707] [23200] [error] flowers. Row: 11. Column planted undefined
[2021-10-14 17:56:41.71710] [23200] [error] flowers. Row: 11. Column thumbnail undefined
[2021-10-14 17:56:41.71715] [23200] [error] flowers. Row: 12. Column kind undefined
[2021-10-14 17:56:41.71720] [23200] [error] flowers. Row: 12. Column max_height undefined
[2021-10-14 17:56:41.71723] [23200] [error] flowers. Row: 12. Column max_width undefined
[2021-10-14 17:56:41.71726] [23200] [error] flowers. Row: 12. Column min_height undefined
[2021-10-14 17:56:41.71729] [23200] [error] flowers. Row: 12. Column min_width undefined
[2021-10-14 17:56:41.71732] [23200] [error] flowers. Row: 12. Column pig_latin undefined
[2021-10-14 17:56:41.71735] [23200] [error] flowers. Row: 12. Column planted undefined
[2021-10-14 17:56:41.71738] [23200] [error] flowers. Row: 12. Column thumbnail undefined
[2021-10-14 17:56:41.71741] [23200] [error] flowers. Row: 13. Column kind undefined
[2021-10-14 17:56:41.71744] [23200] [error] flowers. Row: 13. Column max_height undefined
[2021-10-14 17:56:41.71747] [23200] [error] flowers. Row: 13. Column max_width undefined
