"common_name","scientific_name","aliases","height","width","publish"
"Fountain Grass","Pennisetum setaceum","Crimson fountaingrass","","","Yes"
"Fuchsia 1","Fuchsia","","60cm","30cm","Yes"
"Coralle","Fuchsia","-","1m","","Yes"
"Garden heliotrope","Heliotropium arborescens","Cherry pie, Common heliotrope, 'Lord Roberts'","50cm","90cm","Yes"
"Gazania","Gazania","'Sunseeker Mix'","","","Yes"
"Glory Bush","Tibouchina urvilleana","Glory trees","","","Yes"
"Goji Berry Plant","Lycium barbarum","","3m","1m","Yes"
"Golden arum lily","Zantedeschia elliottiana","Calla Lily","","","Yes"
"Goldfussia","Strobilanthes anisophyllus","","","","Yes"
"Goldfever","Grevillea","-","","","Yes"
"Lady 'O'","Grevillea","-","1-1.5m","1.5-2m","Yes"
"Lemon Daze","Grevillea","-","","","Yes"
"Fireworks","Grevillea","-","1m","75cm","Yes"
"Honeyeater Heaven","Grevillea lanigera","-","","","Yes"
"Heavenly Bamboo","Nandina domestica","Nandina, Sacred bamboo","","","Yes"
"Hellebore 1","Helleborus argutifolius","H. corsicus, Christmas rose, Lenten rose, Winter Rose","","","Yes"
"Hellebore 2","Helleborus foetidus","Bear's foot, dungwort, setterwort, Stinking Hellebore","60cm","60cm","Yes"
"Obsidian","Heuchera","Alumroot","","","Yes"
"Coral bells","Heuchera","Alumroot, 'Peach Flambé'","","","Yes"
"Climbing Guinea Flower","Hibbertia scandens","Golden Guinea Vine, Snake Vine","","","Yes"
"Hoary Guinea Flower","Hibbertia obtusifolia","","","","Yes"
"Hibiscus 1","Alyogyne huegelii","","","","Yes"
"West Coast Gem","Alyogyne huegelii","","","","Yes"
"Rose mallow","Hibiscus","","","","Yes"
"Himalayan Knotweed","Persicaria affinis","","","","Yes"
"Honesty","Lunaria annua","Annual honesty","","","Yes"
"Honeysuckle","Lonicera periclymenum","Common honeysuckle, European honeysuckle, Woodbine","","","Yes"
"Hummingbird Plant","Dicliptera suberecta","Uruguayan Firecracker Plant","50cm","50cm","Yes"
"Hydrangea","Hydrangea","","","","Yes"
"Golden Nugget","Hymenosporum Flavum","Native frangipani","","","Yes"
"Iris 1 - Pale purple","Iris unguicularis","Algerian Iris","","","Yes"
"Iris 2 - Dull yellow","Iris unknown","","","","Yes"
"Isopogon latifolius","Isopogon latifolius","Pink Coneflower","1-2m","50cm","Yes"
"Ivy","Hedera","","","","Yes"
"Jacaranda","Jacaranda mimosifolia","","","","Yes"
