"scientific_name","url"
"Hedera","https://en.wikipedia.org/wiki/List_of_plants_known_as_ivy"
"Heliotropium arborescens","https://en.wikipedia.org/wiki/Heliotropium_arborescens"
"Helleborus argutifolius","https://en.wikipedia.org/wiki/Helleborus_argutifolius"
"Helleborus foetidus","https://en.wikipedia.org/wiki/Helleborus_foetidus"
"Heuchera 1","http://touchofclassplants.com"
"Heuchera 2","http://touchofclassplants.com"
"Hibbertia obtusifolia","http://www.kuranga.com.au/"
"Hibbertia scandens","https://en.wikipedia.org/wiki/Hibbertia_scandens"
"Hydrangea","https://en.wikipedia.org/wiki/Hydrangea"
"Ipomoea lacunosa","https://en.wikipedia.org/wiki/Ipomoea_lacunosa"
"Iris unguicularis","https://en.wikipedia.org/wiki/Iris_(plant)"
"Iris unknown","https://en.wikipedia.org/wiki/Iris_(plant)"
"Isopogon latifolius","http://www.kuranga.com.au/"
"Jacaranda mimosifolia","https://en.wikipedia.org/wiki/Jacaranda_mimosifolia"
"Kennedia nigricans","https://en.wikipedia.org/wiki/Kennedia_nigricans"
"Kunzea baxterii nana","https://en.wikipedia.org/wiki/Kunzea"
"Lagerstromeia indica x L. Fauriei","http://flemings.com.au"
"Lamium","https://en.wikipedia.org/wiki/Lamium"
"Lechenaultia","http://www.kuranga.com.au/"
"Leptospermum obovatum anisophyllea","http://austraflora.com"
"Lilium","https://en.wikipedia.org/wiki/Lilium"
"Limonium perezii","http://pga.com.au"
"Limonium perezii","https://en.wikipedia.org/wiki/Limonium_perezii"
"Liriope muscari","https://en.wikipedia.org/wiki/Liriope_muscari"
"Lonicera periclymenum","https://en.wikipedia.org/wiki/Lonicera_periclymenum"
"Loropetalum chinense","http://humphris.com.au"
"Loropetalum chinense var. rubrum","http://pga.com.au"
"Loropetalum chinense var. rubrum","https://en.wikipedia.org/wiki/Loropetalum_chinense"
"Loropetalum chinense var. rubrum","http://floridata.com/Plants/Hamamelidaceae/Loropetalum%20chinense/201"
"Lycium barbarum","http://www.touchofclassplants.com.au/products/lycium-barbarum-goji-berry-plant/"
"Malus domestica 'Pine Golden Pippin'","https://en.wikipedia.org/wiki/Cox%27s_Orange_Pippin"
"Malus domestica 'Pine Golden Pippin'","http://www.bernwodefruittrees.co.uk/descriptions/apple38.htm"
"Malus domestica 'Pine Golden Pippin'","http://www.orangepippin.com/apples/pine-golden-pippin"
"Malus domestica 'Pine Golden Pippin'","https://en.wikipedia.org/wiki/Malus"
"Malus domestica 'Pitmaston Pine'","http://www.bernwodefruittrees.co.uk/descriptions/apple38.htm"
"Malus domestica 'Pitmaston Pine'","http://www.orangepippin.com/apples/pitmaston-pineapple"
"Malus domestica 'Pitmaston Pine'","https://en.wikipedia.org/wiki/Malus"
"Malus domestica Harmony","http://jftnurseries.com.au/index.php?option=com_content&view=article&id=4&Itemid=4"
"Malus domestica Harmony","http://pinewoodnursery.com.au/"
"Malus domestica Harmony","https://en.wikipedia.org/wiki/Malus"
"Malus domestica Leprechaun","http://jftnurseries.com.au/index.php?option=com_content&view=article&id=4&Itemid=4"
"Malus domestica Leprechaun","http://www.plantnet.com.au/dwarf-granny-smith/"
"Malus domestica Leprechaun","http://pinewoodnursery.com.au/"
"Malus domestica Leprechaun","https://en.wikipedia.org/wiki/Malus"
"Malus domestica Pinkabelle®","http://jftnurseries.com.au/index.php?option=com_content&view=article&id=4&Itemid=4"
"Malus domestica Pinkabelle®","http://www.plantnet.com.au/pinkabelle-apple-tree/"
"Malus domestica Pinkabelle®","http://pinewoodnursery.com.au/"
"Malus domestica Pinkabelle®","https://en.wikipedia.org/wiki/Malus"
"Malus domestica Pom-for-You","http://jftnurseries.com.au/index.php?option=com_content&view=article&id=4&Itemid=4"
"Malus domestica Pom-for-You","http://pinewoodnursery.com.au/"
"Malus domestica Pom-for-You","https://en.wikipedia.org/wiki/Malus"
"Malus domestica Pompink","http://jftnurseries.com.au/index.php?option=com_content&view=article&id=4&Itemid=4"
"Malus domestica Pompink","http://pinewoodnursery.com.au/"
"Malus domestica Pompink","https://en.wikipedia.org/wiki/Malus"
"Mandevilla hybrid 1","http://natureswonders.com.au"
"Mandevilla hybrid 1","https://en.wikipedia.org/wiki/Mandevilla"
"Mandevilla hybrid 2","http://natureswonders.com.au"
"Mandevilla hybrid 2","https://en.wikipedia.org/wiki/Mandevilla"
"Mandevilla laxa","https://en.wikipedia.org/wiki/Mandevilla_laxa"
"Mentha spicata","https://en.wikipedia.org/wiki/Spearmint"
"Mentha spicata","http://renaissanceherbs.com.au/"
"Monstera deliciosa","https://en.wikipedia.org/wiki/Monstera_deliciosa"
"Nandina domestica","https://en.wikipedia.org/wiki/Nandina"
"Narcissus papyraceus","https://en.wikipedia.org/wiki/Narcissus_papyraceus"
"Ocimum basilicum","https://en.wikipedia.org/wiki/Basil"
"Ocimum basilicum","http://scotsburn.biz"
"Ocimum kilimandscharicum x basilicum 'Dark Opal'","https://en.wikipedia.org/wiki/Basil"
"Ocimum kilimandscharicum x basilicum 'Dark Opal'","http://www.herbherbert.com"
