"scientific_name","attribute_name","range"
"Azalea 1","Sun tolerance","Unknown"
"Azalea 2","Edible","No"
"Azalea 2","Habit","Unknown"
"Azalea 2","Kind","Generic"
"Azalea 2","Native","No"
"Azalea 2","Sun tolerance","Unknown"
"Azalea 3","Edible","No"
"Azalea 3","Habit","Unknown"
"Azalea 3","Kind","Generic"
"Azalea 3","Native","No"
"Azalea 3","Sun tolerance","Unknown"
"Banksia blechnifolia","Edible","No"
"Banksia blechnifolia","Habit","Unknown"
"Banksia blechnifolia","Kind","Generic"
"Banksia blechnifolia","Native","Yes"
"Banksia blechnifolia","Sun tolerance","Unknown"
"Banksia spinulosa","Edible","No"
"Banksia spinulosa","Habit","Unknown"
"Banksia spinulosa","Kind","Generic"
"Banksia spinulosa","Native","Yes"
"Banksia spinulosa","Sun tolerance","Unknown"
"Barbarea verna","Edible","Leaf"
"Barbarea verna","Habit","Shrub"
"Barbarea verna","Kind","Generic"
"Barbarea verna","Native","No"
"Barbarea verna","Sun tolerance","Full sun"
"Begonia hybrid","Edible","No"
"Begonia hybrid","Habit","Unknown"
"Begonia hybrid","Kind","Generic"
"Begonia hybrid","Native","No"
"Begonia hybrid","Sun tolerance","Unknown"
"Beta vulgaris 1","Edible","Leaf"
"Beta vulgaris 1","Habit","Shrub"
"Beta vulgaris 1","Kind","Generic"
"Beta vulgaris 1","Native","No"
"Beta vulgaris 1","Sun tolerance","Full sun"
"Beta vulgaris 2","Edible","Leaf"
"Beta vulgaris 2","Habit","Shrub"
"Beta vulgaris 2","Kind","Generic"
"Beta vulgaris 2","Native","No"
"Beta vulgaris 2","Sun tolerance","Full sun"
"Bracteantha","Edible","No"
"Bracteantha","Habit","Unknown"
"Bracteantha","Kind","Generic"
"Bracteantha","Native","Yes"
"Bracteantha","Sun tolerance","Unknown"
"Brassica rapa var. perviridis 'Red'","Edible","Leaf"
"Brassica rapa var. perviridis 'Red'","Habit","Shrub"
"Brassica rapa var. perviridis 'Red'","Kind","Generic"
"Brassica rapa var. perviridis 'Red'","Native","No"
"Brassica rapa var. perviridis 'Red'","Sun tolerance","Full sun"
"Callistemon citrinus","Edible","No"
"Callistemon citrinus","Habit","Shrub"
"Callistemon citrinus","Kind","Generic"
"Callistemon citrinus","Native","Yes"
"Callistemon citrinus","Sun tolerance","Full sun, Part shade"
"Callistemon viminalis hybrid","Edible","No"
"Callistemon viminalis hybrid","Habit","Unknown"
"Callistemon viminalis hybrid","Kind","Generic"
"Callistemon viminalis hybrid","Native","Yes"
"Callistemon viminalis hybrid","Sun tolerance","Unknown"
"Camellia","Edible","No"
"Camellia","Habit","Unknown"
"Camellia","Kind","Generic"
"Camellia","Native","No"
"Camellia","Sun tolerance","Unknown"
"Campanula garganica","Edible","No"
"Campanula garganica","Habit","Unknown"
"Campanula garganica","Kind","Generic"
"Campanula garganica","Native","No"
"Campanula garganica","Sun tolerance","Unknown"
"Campanula poscharskyana","Edible","No"
"Campanula poscharskyana","Habit","Unknown"
"Campanula poscharskyana","Kind","Generic"
"Campanula poscharskyana","Native","No"
"Campanula poscharskyana","Sun tolerance","Unknown"
"Celosia","Edible","No"
"Celosia","Habit","Unknown"
"Celosia","Kind","Generic"
"Celosia","Native","No"
"Celosia","Sun tolerance","Unknown"
"Centella asiatica","Edible","Leaf"
"Centella asiatica","Habit","Prostrate"
"Centella asiatica","Kind","Generic"
"Centella asiatica","Native","No"
"Centella asiatica","Sun tolerance","Shade"
"Cercis canadensis","Edible","No"
"Cercis canadensis","Habit","Unknown"
"Cercis canadensis","Kind","Generic"
"Cercis canadensis","Native","No"
"Cercis canadensis","Sun tolerance","Unknown"
"Chorizema cordatum","Edible","No"
"Chorizema cordatum","Habit","Shrub"
"Chorizema cordatum","Kind","Generic"
"Chorizema cordatum","Native","Yes"
"Chorizema cordatum","Sun tolerance","Part shade, Shade"
"Chorizema varium","Edible","No"
"Chorizema varium","Habit","Shrub"
"Chorizema varium","Kind","Generic"
"Chorizema varium","Native","Yes"
"Chorizema varium","Sun tolerance","Full sun, Part shade"
"Citrus japonica","Edible","Fruit"
"Citrus japonica","Habit","Tree"
"Citrus japonica","Kind","Generic"
"Citrus japonica","Native","No"
"Citrus japonica","Sun tolerance","Full sun"
"Citrus limon","Edible","Fruit"
"Citrus limon","Habit","Tree"
"Citrus limon","Kind","Generic"
"Citrus limon","Native","No"
"Citrus limon","Sun tolerance","Full sun"
"Citrus x latifolia","Edible","Fruit"
"Citrus x latifolia","Habit","Tree"
"Citrus x latifolia","Kind","Generic"
"Citrus x latifolia","Native","No"
"Citrus x latifolia","Sun tolerance","Full sun"
"Citrus x meyeri","Edible","Fruit"
"Citrus x meyeri","Habit","Tree"
"Citrus x meyeri","Kind","Generic"
"Citrus x meyeri","Native","No"
"Citrus x meyeri","Sun tolerance","Full sun"
"Citrus x sinensis","Edible","Fruit"
"Citrus x sinensis","Habit","Tree"
"Citrus x sinensis","Kind","Generic"
"Citrus x sinensis","Native","No"
"Citrus x sinensis","Sun tolerance","Full sun"
"Colocasia","Edible","Rhizome"
"Colocasia","Habit","Shrub"
"Colocasia","Kind","Generic"
"Colocasia","Native","No"
"Colocasia","Sun tolerance","Unknown"
"Convolvulus cneorum","Edible","No"
"Convolvulus cneorum","Habit","Unknown"
"Convolvulus cneorum","Kind","Generic"
"Convolvulus cneorum","Native","No"
"Convolvulus cneorum","Sun tolerance","Unknown"
"Convolvulus sabatius","Edible","No"
"Convolvulus sabatius","Habit","Unknown"
"Convolvulus sabatius","Kind","Generic"
"Convolvulus sabatius","Native","No"
"Convolvulus sabatius","Sun tolerance","Unknown"
"Coriandrum sativum","Edible","Leaf"
"Coriandrum sativum","Habit","Shrub"
"Coriandrum sativum","Kind","Generic"
"Coriandrum sativum","Native","No"
"Coriandrum sativum","Sun tolerance","Full sun, Part shade"
"Correa glabra","Edible","No"
"Correa glabra","Habit","Shrub"
"Correa glabra","Kind","Generic"
"Correa glabra","Native","Yes"
"Correa glabra","Sun tolerance","Full sun, Part shade"
"Correa pulchella","Edible","No"
"Correa pulchella","Habit","Unknown"
"Correa pulchella","Kind","Generic"
"Correa pulchella","Native","Yes"
"Correa pulchella","Sun tolerance","Unknown"
"Correa reflexa nummulariifolia","Edible","No"
"Correa reflexa nummulariifolia","Habit","Shrub"
"Correa reflexa nummulariifolia","Kind","Generic"
"Correa reflexa nummulariifolia","Native","Yes"
"Correa reflexa nummulariifolia","Sun tolerance","Full sun, Part shade"
"Corymbia ficifolia","Edible","No"
"Corymbia ficifolia","Habit","Tree"
"Corymbia ficifolia","Kind","Generic"
"Corymbia ficifolia","Native","Yes"
"Corymbia ficifolia","Sun tolerance","Full sun"
"Cotinus coggygria","Edible","No"
"Cotinus coggygria","Habit","Tree"
"Cotinus coggygria","Kind","Generic"
"Cotinus coggygria","Native","No"
"Cotinus coggygria","Sun tolerance","Unknown"
"Crowea saligna","Edible","No"
"Crowea saligna","Habit","Unknown"
"Crowea saligna","Kind","Generic"
"Crowea saligna","Native","Yes"
"Crowea saligna","Sun tolerance","Unknown"
"Dampiera trigona","Edible","No"
"Dampiera trigona","Habit","Unknown"
"Dampiera trigona","Kind","Generic"
"Dampiera trigona","Native","Yes"
"Dampiera trigona","Sun tolerance","Unknown"
"Daphne bholua","Edible","No"
"Daphne bholua","Habit","Unknown"
"Daphne bholua","Kind","Generic"
"Daphne bholua","Native","No"
"Daphne bholua","Sun tolerance","Unknown"
"Delphinium","Edible","No"
"Delphinium","Habit","Unknown"
"Delphinium","Kind","Generic"
"Delphinium","Native","No"
"Delphinium","Sun tolerance","Unknown"
"Dianella prunina DP303","Edible","No"
"Dianella prunina DP303","Habit","Unknown"
"Dianella prunina DP303","Kind","Generic"
"Dianella prunina DP303","Native","Yes"
"Dianella prunina DP303","Sun tolerance","Unknown"
"Dianthus","Edible","No"
"Dianthus","Habit","Unknown"
"Dianthus","Kind","Generic"
"Dianthus","Native","No"
"Dianthus","Sun tolerance","Unknown"
"Dichopogon strictus","Edible","No"
"Dichopogon strictus","Habit","Unknown"
"Dichopogon strictus","Kind","Generic"
"Dichopogon strictus","Native","No"
"Dichopogon strictus","Sun tolerance","Unknown"
"Dicliptera suberecta","Edible","No"
"Dicliptera suberecta","Habit","Unknown"
"Dicliptera suberecta","Kind","Generic"
"Dicliptera suberecta","Native","No"
"Dicliptera suberecta","Sun tolerance","Full sun"
